timestamp,verification_result,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,watch,headphone,closedbook,earpiece,cell phone,openbook,chits,sheet,H-Distance,F-Distance,split,video,is_cheating
0-00-52.900000,1,1.0,0,0.4754987831869624,0,61.0,0.0,0.0,0.0,4.743740424953052,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-15.400000,1,1.0,0,0.4357977161242459,0,5.0,0.0,0.0,0.0,13.622020681378357,4,1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-08.300000,1,1.0,0,0.5,0,8.0,0.0,0.0,0.0,9.737430422399033,4,0,0,0,1,0,0,0,0,0,135.83077707206124,10000.0,Train,Video2,0
0-01-36.150000,1,1.0,0,0.4677395126500378,0,114.5,0.0,0.0,0.0,3.5511913946633977,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-32.900000,1,1.0,0,0.45901734235589436,0,44.0,0.0,0.0,0.0,7.83656609206906,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-03.800000,1,1.0,0,0.43912727597488116,0,1.0,0.0,0.0,0.0,13.918773428553143,4,1,1,1,0,0,0,0,0,0,234.47174669882938,10000.0,Train,Video2,0
0-00-05.950000,1,1.0,0,0.4826900565804619,0,72.5,0.0,0.0,0.0,4.144654036178264,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-53.750000,1,1.0,0,0.44914011687221556,0,103.5,0.0,0.0,0.0,6.763597299178576,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-35.800000,1,1.0,0,0.5306082023279347,0,41.5,0.0,0.0,0.0,8.000447114746674,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-56.150000,1,1.0,0,0.44914011687221556,0,31.0,0.0,0.0,0.0,3.055167024860988,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-24.150000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-08.150000,1,1.0,0,0.4619743681943759,0,28.0,0.0,0.0,0.0,11.466639270321723,4,1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-33.750000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-04.900000,1,1.0,0,0.4643318068425182,0,89.5,0.0,0.0,0.0,4.899837467013085,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-56.350000,1,1.0,0,0.4666023121649932,0,51.0,0.0,0.0,0.0,3.1329754135298824,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-19.450000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-14.050000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-37.550000,1,1.0,0,0.48661501335285645,0,101.5,0.0,0.0,0.0,4.968725308424215,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-14.850000,1,1.0,0,0.44820630170590964,0,8.5,0.0,0.0,0.0,20.00894529232007,4,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-11.450000,1,1.0,0,0.5117254316515308,0,72.0,0.0,0.0,0.0,10.574027219578458,4,1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-38.200000,1,1.0,0,0.4592917429145543,0,17.5,0.0,0.0,0.0,22.37690698084218,4,2,1,0,0,0,0,0,0,0,130.66751700403586,10000.0,Train,Video2,0
0-01-28.700000,1,1.0,0,0.4710021267605585,0,46.5,0.0,0.0,0.0,5.702403979409385,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-17.300000,1,1.0,0,0.45057017362892193,0,149.5,0.0,0.0,0.0,3.6608655358882882,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-07.100000,1,1.0,0,0.43335655384975735,0,25.0,0.0,0.0,0.0,7.085735480132958,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-00.500000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-41.750000,1,1.0,1,0.5881084590728377,0,38.0,0.0,0.0,0.0,9.825160159832214,4,0,1,1,0,0,0,0,0,0,140.6627171641441,10000.0,Train,Video2,0
0-01-21.250000,1,1.0,0,0.4939574819698493,0,52.0,0.0,0.0,0.0,6.850249553877318,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-17.300000,1,1.0,0,0.45639832430810356,0,1.0,0.0,0.0,0.0,16.342969342531628,4,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-25.850000,1,1.0,0,0.48462602625230616,0,14.0,0.0,0.0,0.0,15.65857725175793,4,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-51.500000,1,1.0,0,0.4880563320939731,0,83.5,0.0,0.0,0.0,7.635699597308059,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-16.700000,1,1.0,0,0.48664474177077144,0,142.0,0.0,0.0,0.0,2.480908660579731,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-34.800000,1,1.0,0,0.45343136195018535,0,0.0,0.0,0.0,0.0,10.996905157560324,4,1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-49.200000,1,1.0,0,0.5630925063714729,0,90.0,0.0,0.0,0.0,5.820947168308644,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-27.900000,1,1.0,0,0.48477634402651576,0,5.0,0.0,0.0,0.0,22.52643456383213,4,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-06.050000,1,1.0,0,0.4795583482305909,0,20.0,0.0,0.0,0.0,8.320578298460692,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-40.150000,1,1.0,0,0.43840064091105013,0,71.0,0.0,0.0,0.0,6.279825496666577,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-15.050000,1,1.0,0,0.4670340516162901,0,0.0,0.0,0.0,0.0,19.68142154482367,4,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-01-17.100000,1,1.0,0,0.4657971306985123,0,85.5,0.0,0.0,0.0,3.082089314714666,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-52.250000,1,1.0,0,0.4617740725913995,0,43.5,0.0,0.0,0.0,5.847787369635019,0,0,0,0,1,0,0,0,0,0,103.31021246711285,10000.0,Train,Video2,0
0-00-59.600000,1,1.0,0,0.4609209615325419,0,50.0,0.0,0.0,0.0,1.9174741320004434,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-13.050000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
0-00-48.750000,1,1.0,0,0.44377343983206474,0,48.0,0.0,0.0,0.0,7.895433237535937,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video2,0
